Classic Breakbeats,,,,,,,,,,,,,,,,,,Classic Breakbeats - multi-part,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billie Jean,,,,,,,,,,,,,,,,,,Take Me To The Mardi Gras part 1,,,,,,,,,,,,,,,,
open hh,,,,,,,,,,,,,,,,,,kick,,,,,,,,,,,,,,,,
tambourine,,,,,,,,,,,,,,,,,,snare,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,closed hh,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,lo conga,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,hi conga,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Apache part 2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1,e,+,a,2,e,+,a,3,e,+,a,4,e,+,a
,,,,,,,,,,,,,,,,,,kick,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,snare,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,closed hh,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,lo conga,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,hi conga,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Apache part 3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1,e,+,a,2,e,+,a,3,e,+,a,4,e,+,a
,,,,,,,,,,,,,,,,,,kick,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,snare,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,closed hh,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,lo conga,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,hi conga,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Apache part 4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1,e,+,a,2,e,+,a,3,e,+,a,4,e,+,a
,,,,,,,,,,,,,,,,,,kick,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,snare,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,closed hh,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,lo conga,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,hi conga,,,,,,,,,,,,,,,,
